Y;Fieldvalue
-1.1920E+01;7.3681E+00
-1.1919E+01;7.3694E+00
-1.1918E+01;7.3708E+00
-1.1917E+01;7.3722E+00
-1.1916E+01;7.3735E+00
-1.1915E+01;7.3749E+00
-1.1914E+01;7.3763E+00
-1.1913E+01;7.3777E+00
-1.1912E+01;7.3790E+00
-1.1911E+01;7.3804E+00
-1.1910E+01;7.3818E+00
-1.1909E+01;7.3832E+00
-1.1908E+01;7.3845E+00
-1.1907E+01;7.3859E+00
-1.1906E+01;7.3873E+00
-1.1905E+01;7.3887E+00
-1.1904E+01;7.3900E+00
-1.1903E+01;7.3914E+00
-1.1902E+01;7.3928E+00
-1.1901E+01;7.3942E+00
-1.1900E+01;7.3955E+00
-1.1899E+01;7.3969E+00
-1.1898E+01;7.3983E+00
-1.1897E+01;7.3997E+00
-1.1896E+01;7.4010E+00
-1.1895E+01;7.4024E+00
-1.1894E+01;7.4038E+00
-1.1893E+01;7.4052E+00
-1.1892E+01;7.4065E+00
-1.1891E+01;7.4079E+00
-1.1890E+01;7.4093E+00
-1.1889E+01;7.4107E+00
-1.1888E+01;7.4120E+00
-1.1887E+01;7.4134E+00
-1.1886E+01;7.4148E+00
-1.1885E+01;7.4162E+00
-1.1884E+01;7.4175E+00
-1.1883E+01;7.4189E+00
-1.1882E+01;7.4203E+00
-1.1881E+01;7.4217E+00
-1.1880E+01;7.4230E+00
-1.1879E+01;7.4244E+00
-1.1878E+01;7.4258E+00
-1.1877E+01;7.4272E+00
-1.1876E+01;7.4285E+00
-1.1875E+01;7.4299E+00
-1.1874E+01;7.4313E+00
-1.1873E+01;7.4327E+00
-1.1872E+01;7.4340E+00
-1.1871E+01;7.4354E+00
-1.1870E+01;7.4368E+00
-1.1869E+01;7.4382E+00
-1.1868E+01;7.4395E+00
-1.1867E+01;7.4409E+00
-1.1866E+01;7.4423E+00
-1.1865E+01;7.4437E+00
-1.1864E+01;7.4450E+00
-1.1863E+01;7.4464E+00
-1.1862E+01;7.4478E+00
-1.1861E+01;7.4492E+00
-1.1860E+01;7.4505E+00
-1.1859E+01;7.4519E+00
-1.1858E+01;7.4533E+00
-1.1857E+01;7.4547E+00
-1.1856E+01;7.4560E+00
-1.1855E+01;7.4574E+00
-1.1854E+01;7.4588E+00
-1.1853E+01;7.4602E+00
-1.1852E+01;7.4615E+00
-1.1851E+01;7.4629E+00
-1.1850E+01;7.4643E+00
-1.1849E+01;7.4657E+00
-1.1848E+01;7.4670E+00
-1.1847E+01;7.4684E+00
-1.1846E+01;7.4698E+00
-1.1845E+01;7.4712E+00
-1.1844E+01;7.4725E+00
-1.1843E+01;7.4739E+00
-1.1842E+01;7.4753E+00
-1.1841E+01;7.4767E+00
-1.1840E+01;7.4780E+00
-1.1839E+01;7.4794E+00
-1.1838E+01;7.4808E+00
-1.1837E+01;7.4822E+00
-1.1836E+01;7.4835E+00
-1.1835E+01;7.4849E+00
-1.1834E+01;7.4863E+00
-1.1833E+01;7.4877E+00
-1.1832E+01;7.4890E+00
-1.1831E+01;7.4904E+00
-1.1830E+01;7.4918E+00
-1.1829E+01;7.4932E+00
-1.1828E+01;7.4945E+00
-1.1827E+01;7.4959E+00
-1.1826E+01;7.4973E+00
-1.1825E+01;7.4987E+00
-1.1824E+01;7.5000E+00
-1.1823E+01;7.5014E+00
-1.1822E+01;7.5028E+00
-1.1821E+01;7.5042E+00
-1.1820E+01;7.5055E+00
-1.1819E+01;7.5069E+00
-1.1818E+01;7.5083E+00
-1.1817E+01;7.5097E+00
-1.1816E+01;7.5110E+00
-1.1815E+01;7.5124E+00
-1.1814E+01;7.5138E+00
-1.1813E+01;7.5152E+00
-1.1812E+01;7.5165E+00
-1.1811E+01;7.5179E+00
-1.1810E+01;7.5193E+00
-1.1809E+01;7.5207E+00
-1.1808E+01;7.5220E+00
-1.1807E+01;7.5234E+00
-1.1806E+01;7.5248E+00
-1.1805E+01;7.5262E+00
-1.1804E+01;7.5275E+00
-1.1803E+01;7.5289E+00
-1.1802E+01;7.5303E+00
-1.1801E+01;7.5317E+00
-1.1800E+01;7.5330E+00
-1.1799E+01;7.5344E+00
-1.1798E+01;7.5358E+00
-1.1797E+01;7.5372E+00
-1.1796E+01;7.5385E+00
-1.1795E+01;7.5399E+00
-1.1794E+01;7.5413E+00
-1.1793E+01;7.5427E+00
-1.1792E+01;7.5440E+00
-1.1791E+01;7.5454E+00
-1.1790E+01;7.5468E+00
-1.1789E+01;7.5482E+00
-1.1788E+01;7.5495E+00
-1.1787E+01;7.5509E+00
-1.1786E+01;7.5523E+00
-1.1785E+01;7.5537E+00
-1.1784E+01;7.5550E+00
-1.1783E+01;7.5564E+00
-1.1782E+01;7.5578E+00
-1.1781E+01;7.5592E+00
-1.1780E+01;7.5605E+00
-1.1779E+01;7.5619E+00
-1.1778E+01;7.5633E+00
-1.1777E+01;7.5647E+00
-1.1776E+01;7.5660E+00
-1.1775E+01;7.5674E+00
-1.1774E+01;7.5688E+00
-1.1773E+01;7.5702E+00
-1.1772E+01;7.5715E+00
-1.1771E+01;7.5729E+00
-1.1770E+01;7.5743E+00
-1.1769E+01;7.5757E+00
-1.1768E+01;7.5770E+00
-1.1767E+01;7.5784E+00
-1.1766E+01;7.5798E+00
-1.1765E+01;7.5812E+00
-1.1764E+01;7.5825E+00
-1.1763E+01;7.5839E+00
-1.1762E+01;7.5853E+00
-1.1761E+01;7.5867E+00
